15.0, 25.0
35.0, 15.0
20.5, 10.5
37.5, 20.5
12.0, 19.5
20.0, 24.5
14.0, 25.0
25.0, 30.0
30.0, 15.5
40.0, 20.5
47.5, 24.0
14.0, 20.0
18.0, 15.5
24.0, 10.0
29.0, 30.3
46.0, 12.5
60.0, 30.5
10.0, 25.0
19.0, 18.0
10.0, 20.5
21.0, 45.0
23.0, 40.0
16.0, 23.5
31.6, 22.0
33.7, 29.0
50.0, 45.0
22.0, 15.0
11.0, 20.5
15.0, 10.5
26.5, 23.0
25.0, 25.0
30.0, 55.0
20.0, 10.5
33.0, 20.5
42.0, 19.5
20.5, 24.5
15.0, 26.0
28.0, 30.0
32.0, 15.5
41.0, 20.5
46.0, 24.0
19.0, 20.0
17.0, 15.5
20.0, 10.0
49.0, 30.3
56.0, 15.5
63.0, 30.5
15.5, 35.0
39.0, 10.0
13.0, 20.5
23.0, 50.0
23.0, 45.0
13.0, 23.5
31.6, 32.0
33.7, 30.0
55.0, 35.0
28.0, 15.0
11.0, 30.5
10.0, 10.5
26.5, 43.0
35.0, 25.0
50.0, 15.0
40.5, 20.5
27.5, 20.5
30.0, 19.5
33.0, 24.5
12.0, 25.0
29.5, 30.0
30.0, 16.5
35.0, 17.5
17.5, 34.0
18.0, 30.0
33.0, 15.5
29.0, 10.0
28.0, 30.3
46.0, 22.5
30.0, 30.0
10.0, 30.0
19.0, 18.0
20.0, 22.5
26.0, 23.0
16.0, 50.0
16.5, 23.5
30.6, 22.0
23.7, 29.0
56.0, 45.0
20.0, 15.0
15.0, 20.5
36.0, 10.5
28.5, 23.0
21.5, 37.0
44.0, 18.5
52.5, 22.0
16.0, 31.5
38.0, 27.0
57.0, 20.0
48.5, 33.0
24.0, 42.5
19.0, 36.0
29.5, 17.0
60.0, 25.0
